queries,clicks,impressions,ctr,position
treasure data,1447,3925,36.87%,1.4
treasuredata,288,1415,20.35%,1.8
cdp vs dmp,84,369,22.76%,2.3
dmp vs cdp,65,153,42.48%,1.6
treasure data careers,39,63,61.9%,1.0
tresure data,31,170,18.24%,1.8
cdp dmp,24,140,17.14%,4.7
treasure data pricing,23,84,27.38%,1.4
dmp cdp,23,89,25.84%,4.1
s3 to elasticsearch,19,142,13.38%,6.9
treasure data inc,17,50,34%,1.2
google cloud storage,16,34091,0.05%,9.1
tresuredata,14,199,7.04%,2.1
tableau kafka,13,64,20.31%,2.0
treasure data gdpr,13,22,59.09%,2.1
data treasure,13,42,30.95%,1.1
treasure data japan,12,21,57.14%,1.2
treasuredata.com,12,52,23.08%,1.2
difference between cdp and dmp,12,19,63.16%,1.2
kafka to redshift,12,93,12.9%,3.9
trasure data,12,41,29.27%,1.6
data pipeline tools,12,140,8.57%,4.4
kafka to s3,12,159,7.55%,8.4
dmp,12,7563,0.16%,13.0
data processing addendum template,11,86,12.79%,5.6
treasure-data,10,43,23.26%,1.3
android elasticsearch,10,66,15.15%,6.9
treasure data jobs,9,19,47.37%,1.0
mailchimp google tag manager,9,74,12.16%,3.6
treasure data cdp,9,38,23.68%,3.3
google storage,8,15432,0.05%,10.0
treasuredata pricing,7,13,53.85%,1.2
postgresql elasticsearch,7,102,6.86%,8.8
postgres to elasticsearch,7,70,10%,8.8
"treasure data, inc.",7,31,22.58%,1.5
kafka to mysql,7,59,11.86%,9.9
treasure data inc.,7,18,38.89%,1.5
cdp and dmp,7,14,50%,1.0
jupyter notebook mongodb,6,40,15%,4.8
kafka tableau,6,33,18.18%,1.9
treasured data,6,12,50%,1.0
excel to elasticsearch,6,43,13.95%,7.5
what is treasure data,6,20,30%,1.7
cdp vs. dmp,5,32,15.62%,2.8
salesforce tag manager,5,18,27.78%,1.5
unity mongodb,5,85,5.88%,6.8
elasticsearch postgres,5,95,5.26%,9.8
zendesk tableau,5,56,8.93%,3.3
treasure cdp,5,155,3.23%,7.9
customer data platform,5,707,0.71%,16.0
treasure data dmp,5,17,29.41%,5.1
mixpanel tableau,5,19,26.32%,1.5
postgresql to elasticsearch,5,55,9.09%,8.0
tableau connect to ftp,5,19,26.32%,3.2
dmp vs. cdp,5,13,38.46%,1.9
redash excel,4,17,23.53%,3.4
hive guide,4,43,9.3%,5.7
google analytics to mysql,4,30,13.33%,6.9
