queries,clicks,impressions,ctr,position,time
treasure data,1447,3925,36.87%,1.4,1560536796
treasuredata,288,1415,20.35%,1.8,1560536796
cdp vs dmp,84,369,22.76%,2.3,1560536796
dmp vs cdp,65,153,42.48%,1.6,1560536796
treasure data careers,39,63,61.9%,1.0,1560536796
tresure data,31,170,18.24%,1.8,1560536796
cdp dmp,24,140,17.14%,4.7,1560536796
treasure data pricing,23,84,27.38%,1.4,1560536796
dmp cdp,23,89,25.84%,4.1,1560536796
s3 to elasticsearch,19,142,13.38%,6.9,1560536796
treasure data inc,17,50,34%,1.2,1560536796
google cloud storage,16,34091,0.05%,9.1,1560536796
tresuredata,14,199,7.04%,2.1,1560536796
tableau kafka,13,64,20.31%,2.0,1560536796
treasure data gdpr,13,22,59.09%,2.1,1560536796
data treasure,13,42,30.95%,1.1,1560536796
treasure data japan,12,21,57.14%,1.2,1560536796
treasuredata.com,12,52,23.08%,1.2,1560536796
difference between cdp and dmp,12,19,63.16%,1.2,1560536796
kafka to redshift,12,93,12.9%,3.9,1560536796
trasure data,12,41,29.27%,1.6,1560536796
data pipeline tools,12,140,8.57%,4.4,1560536796
kafka to s3,12,159,7.55%,8.4,1560536796
dmp,12,7563,0.16%,13.0,1560536796
data processing addendum template,11,86,12.79%,5.6,1560536796
treasure-data,10,43,23.26%,1.3,1560536796
android elasticsearch,10,66,15.15%,6.9,1560536796
treasure data jobs,9,19,47.37%,1.0,1560536796
mailchimp google tag manager,9,74,12.16%,3.6,1560536796
treasure data cdp,9,38,23.68%,3.3,1560536796
google storage,8,15432,0.05%,10.0,1560536796
treasuredata pricing,7,13,53.85%,1.2,1560536796
postgresql elasticsearch,7,102,6.86%,8.8,1560536796
postgres to elasticsearch,7,70,10%,8.8,1560536796
"treasure data, inc.",7,31,22.58%,1.5,1560536796
kafka to mysql,7,59,11.86%,9.9,1560536796
treasure data inc.,7,18,38.89%,1.5,1560536796
cdp and dmp,7,14,50%,1.0,1560536796
jupyter notebook mongodb,6,40,15%,4.8,1560536796
kafka tableau,6,33,18.18%,1.9,1560536796
treasured data,6,12,50%,1.0,1560536796
excel to elasticsearch,6,43,13.95%,7.5,1560536796
what is treasure data,6,20,30%,1.7,1560536796
cdp vs. dmp,5,32,15.62%,2.8,1560536796
salesforce tag manager,5,18,27.78%,1.5,1560536796
unity mongodb,5,85,5.88%,6.8,1560536796
elasticsearch postgres,5,95,5.26%,9.8,1560536796
zendesk tableau,5,56,8.93%,3.3,1560536796
treasure cdp,5,155,3.23%,7.9,1560536796
customer data platform,5,707,0.71%,16.0,1560536796
treasure data dmp,5,17,29.41%,5.1,1560536796
mixpanel tableau,5,19,26.32%,1.5,1560536796
postgresql to elasticsearch,5,55,9.09%,8.0,1560536796
tableau connect to ftp,5,19,26.32%,3.2,1560536796
dmp vs. cdp,5,13,38.46%,1.9,1560536796
redash excel,4,17,23.53%,3.4,1560536796
hive guide,4,43,9.3%,5.7,1560536796
google analytics to mysql,4,30,13.33%,6.9,1560536796
treasure data logo,4,34,11.76%,1.3,1560536796
elasticsearch postgres integration,4,26,15.38%,6.6,1560536796
kafka redshift,4,65,6.15%,4.4,1560536796
kafka s3,4,89,4.49%,7.7,1560536796
"""treasure data""",4,42,9.52%,1.0,1560536796
treasure data wiki,4,37,10.81%,1.1,1560536796
tableau zendesk,4,45,8.89%,3.6,1560536796
"treasure data, inc",4,12,33.33%,1.3,1560536796
s3 to kafka,4,49,8.16%,8.3,1560536796
shiseido case study,4,21,19.05%,5.0,1560536796
treasure,4,10577,0.04%,11.0,1560536796
tableau ftp,4,25,16%,2.3,1560536796
google analytics elasticsearch,4,25,16%,5.1,1560536796
elasticsearch postgresql,4,161,2.48%,8.6,1560536796
pentaho google drive,3,15,20%,3.1,1560536796
tableau sftp,3,24,12.5%,3.7,1560536796
data processing addendum,3,170,1.76%,30.0,1560536796
digdag vs airflow,3,27,11.11%,9.3,1560536796
shiseido case,3,10,30%,3.9,1560536796
elasticsearch csv import,3,3,100%,21.0,1560536796
salesforce kafka integration,3,25,12%,7.4,1560536796
elasticsearch excel,3,40,7.5%,8.5,1560536796
gartner peer insights,3,74,4.05%,18.0,1560536796
mailchimp tag manager,3,20,15%,4.5,1560536796
fluentd enterprise,3,20,15%,4.0,1560536796
azure data connector,3,26,11.54%,5.3,1560536796
jupyter excel,3,38,7.89%,5.1,1560536796
mailchimp mixpanel,3,12,25%,6.5,1560536796
redash csv,3,62,4.84%,6.3,1560536796
cdp treasure data,3,12,25%,3.1,1560536796
request trial,3,11,27.27%,6.5,1560536796
elasticsearch google analytics,3,21,14.29%,7.1,1560536796
elastic search android,3,35,8.57%,6.6,1560536796
treasuredata cdp,3,24,12.5%,2.1,1560536796
google tag manager salesforce,3,36,8.33%,4.1,1560536796
fluentd mysql,3,44,6.82%,11.0,1560536796
cdp data,3,172,1.74%,9.5,1560536796
salesforce google tag manager,3,21,14.29%,4.0,1560536796
cmp vs dmp,3,12,25%,6.1,1560536796
docker google drive,3,41,7.32%,7.3,1560536796
tableau mixpanel,2,19,10.53%,2.7,1560536796
can tableau connect to s3,2,14,14.29%,6.9,1560536796
kafka ftp,2,14,14.29%,5.6,1560536796
mobile game marketing case study,2,11,18.18%,10.0,1560536796
mysql webhook,2,18,11.11%,5.1,1560536796
mongodb to elasticsearch,2,6,33.33%,26.0,1560536796
datorama integrations,2,20,10%,7.7,1560536796
mongodb jupyter notebook,2,13,15.38%,5.1,1560536796
elasticsearch import data from postgresql,2,6,33.33%,18.0,1560536796
data company,2,279,0.72%,23.0,1560536796
salesforce kafka,2,53,3.77%,8.7,1560536796
looker s3,2,21,9.52%,6.1,1560536796
elasticsearch s3,2,29,6.9%,12.0,1560536796
s3 tableau,2,42,4.76%,5.7,1560536796
postgresql jupyter notebook,2,15,13.33%,9.0,1560536796
redash salesforce,2,34,5.88%,3.0,1560536796
pentaho s3,2,11,18.18%,7.8,1560536796
wish case study,2,3,66.67%,1.0,1560536796
import excel to elasticsearch,2,55,3.64%,8.1,1560536796
in.treasuredata.com,2,51,3.92%,2.5,1560536796
fluentd treasure data,2,10,20%,1.5,1560536796
treasure dmp,2,60,3.33%,18.0,1560536796
redash docker,2,212,0.94%,9.7,1560536796
gartner quadrant,2,373,0.54%,13.0,1560536796
aws s3 to elasticsearch,2,23,8.7%,9.6,1560536796
mongodb jupyter,2,10,20%,3.4,1560536796
google tag manager mailchimp,2,40,5%,3.2,1560536796
trasuredata,2,20,10%,1.8,1560536796
jupyter notebook excel,2,17,11.76%,10.0,1560536796
power bi connectors,2,293,0.68%,8.2,1560536796
apache kafka salesforce,2,13,15.38%,7.8,1560536796
grindr api,2,98,2.04%,8.3,1560536796
jupyter mysql,2,128,1.56%,6.9,1560536796
jupyter s3,2,31,6.45%,8.0,1560536796
bigquery to s3,2,32,6.25%,7.7,1560536796
tableau eloqua,2,32,6.25%,6.0,1560536796
ftp to kafka,2,4,50%,2.3,1560536796
salesforce marketing cloud tableau,2,8,25%,3.9,1560536796
wish ecommerce,2,114,1.75%,10.0,1560536796
jupyter notebook s3,2,34,5.88%,8.9,1560536796
unity ftp,2,30,6.67%,9.1,1560536796
treasure dat,2,7,28.57%,1.9,1560536796
salesforce big data integration,2,19,10.53%,6.9,1560536796
unity csv,2,15,13.33%,19.0,1560536796
jupyter mongodb,2,42,4.76%,3.8,1560536796
mailchimp gtm,2,13,15.38%,3.1,1560536796
mysql jupyter notebook,2,8,25%,7.5,1560536796
elasticsearch ios,2,34,5.88%,2.8,1560536796
wish.com,2,511,0.39%,37.0,1560536796
s3 to bigquery,2,57,3.51%,6.9,1560536796
