Queries,Clicks,Impressions,CTR,Position,Time
treasure data,1447,3925,36.87%,1.4,1558978346
treasuredata,288,1415,20.35%,1.8,1558978346
cdp vs dmp,84,369,22.76%,2.3,1558978346
dmp vs cdp,65,153,42.48%,1.6,1558978346
treasure data careers,39,63,61.90%,1.0,1558978346
tresure data,31,170,18.24%,1.8,1558978346
cdp dmp,24,140,17.14%,4.7,1558978346
treasure data pricing,23,84,27.38%,1.4,1558978346
dmp cdp,23,89,25.84%,4.1,1558978346
s3 to elasticsearch,19,142,13.38%,6.9,1558978346
treasure data inc,17,50,34%,1.2,1558978346
google cloud storage,16,34091,0.05%,9.1,1558978346
tresuredata,14,199,7.04%,2.1,1558978346
tableau kafka,13,64,20.31%,2.0,1558978346
treasure data gdpr,13,22,59.09%,2.1,1558978346
data treasure,13,42,30.95%,1.1,1558978346
treasure data japan,12,21,57.14%,1.2,1558978346
treasuredata.com,12,52,23.08%,1.2,1558978346
difference between cdp and dmp,12,19,63.16%,1.2,1558978346
kafka to redshift,12,93,12.90%,3.9,1558978346
trasure data,12,41,29.27%,1.6,1558978346
data pipeline tools,12,140,8.57%,4.4,1558978346
kafka to s3,12,159,7.55%,8.4,1558978346
dmp,12,7563,0.16%,13.0,1558978346
data processing addendum template,11,86,12.79%,5.6,1558978346
treasure-data,10,43,23.26%,1.3,1558978346
android elasticsearch,10,66,15.15%,6.9,1558978346
treasure data jobs,9,19,47.37%,1.0,1558978346
mailchimp google tag manager,9,74,12.16%,3.6,1558978346
treasure data cdp,9,38,23.68%,3.3,1558978346
google storage,8,15432,0.05%,10.0,1558978346
treasuredata pricing,7,13,53.85%,1.2,1558978346
postgresql elasticsearch,7,102,6.86%,8.8,1558978346
postgres to elasticsearch,7,70,10%,8.8,1558978346
"treasure data, inc.",7,31,22.58%,1.5,1558978346
kafka to mysql,7,59,11.86%,9.9,1558978346
treasure data inc.,7,18,38.89%,1.5,1558978346
cdp and dmp,7,14,50%,1.0,1558978346
jupyter notebook mongodb,6,40,15%,4.8,1558978346
kafka tableau,6,33,18.18%,1.9,1558978346
treasured data,6,12,50%,1.0,1558978346
excel to elasticsearch,6,43,13.95%,7.5,1558978346
