Timestamp^Day^KruxUserId^IpAddress^Browser^Device^OperatingSystem^CampaignId^AdId^CreativeId^searchEngine^SearchKeywords^geoDataDisplay
"1554682699000XXX"^"2019-04-08"^"tieqarpfa"^"D3C94026-9819-4BE3-A304-F0FDC26737BE"^"129.94.8.113"^"Apple WebKit-0"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=au&region=nsw&dma=36118&domain=unsw.edu.au&zipcodes=2033"
"1554682733000"^"2019-04-08"^"tieqarpfa"^"D3C94026-9819-4BE3-A304-F0FDC26737BE"^"129.94.8.113"^"Apple WebKit-0"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=au&region=nsw&dma=36118&domain=unsw.edu.au&zipcodes=2033"
"1554682799000"^"2019-04-08"^"tieqarpfa"^"D3C94026-9819-4BE3-A304-F0FDC26737BE"^"129.94.8.113"^"Apple WebKit-0"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22515664"^"243463612"^"4890811"^"114165272"^"440152118"^"0"^"country=au&region=nsw&dma=36118&domain=unsw.edu.au&zipcodes=2033"
"1554682833000"^"2019-04-08"^"tieqarpfa"^"D3C94026-9819-4BE3-A304-F0FDC26737BE"^"129.94.8.113"^"Apple WebKit-0"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=au&region=nsw&dma=36118&domain=unsw.edu.au&zipcodes=2033"
"1554682868000"^"2019-04-08"^"tieqarpfa"^"D3C94026-9819-4BE3-A304-F0FDC26737BE"^"129.94.8.113"^"Apple WebKit-0"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22515664"^"243463612"^"4890811"^"114165272"^"440152118"^"0"^"country=au&region=nsw&dma=36118&domain=unsw.edu.au&zipcodes=2033"
"1554698478000"^"2019-04-08"^"tieqc5vt7"^"J298PjVD"^"223.16.101.121"^"Chrome 58-71"^"Computer"^"Mac OS X"^"PMISC_AMP"^"8601507"^"22342351"^"240830573"^"4890811"^"112462623"^"437785677"^"0"^"country=hk&zipcodes=0"
"1554683272000"^"2019-04-08"^"tieqarpfa"^"J5MA3rNo"^"220.158.212.70"^"Safari-10"^"Computer"^"Mac OS X"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=nz&region=can&dma=554002&zipcodes=8011"
"1554691043000"^"2019-04-08"^"tieqarpfa"^"J6zuHljN"^"220.244.139.114"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22335041"^"240480344"^"4890811"^"112519106"^"437517743"^"0"^"country=au&region=nsw&dma=36121&domain=tpgi.com.au&zipcodes=2069"
"1554682543000"^"2019-04-08"^"tieqarpfa"^"JEODi94k"^"139.130.103.254"^"Chrome 58-71"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=au&region=qld&dma=36305&domain=telstra.net&zipcodes=4000"
"1554682543000"^"2019-04-08"^"tieqarpfa"^"JEODi94k"^"139.130.103.254"^"Chrome 58-71"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22515664"^"243463351"^"4890811"^"114165272"^"440153198"^"0"^"country=au&region=qld&dma=36305&domain=telstra.net&zipcodes=4000"
"1554689606000"^"2019-04-08"^"tieqarpfa"^"JEODi94k"^"139.130.103.254"^"Chrome 58-71"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22335041"^"240480344"^"4890811"^"112519106"^"437517743"^"0"^"country=au&region=qld&dma=36305&domain=telstra.net&zipcodes=4000"
"1554765186000"^"2019-04-08"^"tieqarpfa"^"JPia_zCe"^"1.136.104.95"^"Chrome Mobile-73"^"Mobile"^"Mac OS X (iPhone)"^"PMISC_AMP"^"8811883"^"22335041"^"240480020"^"4890811"^"112519106"^"437514548"^"0"^"country=au&region=vic&dma=36206&domain=telstra.com.au&zipcodes=3000"
"1554765880000"^"2019-04-08"^"tieqarpfa"^"JU-DU0v8"^"203.194.52.106"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22335041"^"240480020"^"4890811"^"112519106"^"437514548"^"0"^"country=au&region=vic&dma=36206&domain=tpgi.com.au&zipcodes=3000"
"1554736094000"^"2019-04-08"^"tieqskzxa"^"JVQ7knm7"^"118.200.27.103"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8805309"^"22378127"^"241300700"^"4890811"^"112950847"^"438266663"^"0"^"country=sg&domain=singnet.com.sg&zipcodes=148943"
"1554736094000"^"2019-04-08"^"tieqskzxa"^"JVQ7knm7"^"118.200.27.103"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8805309"^"22378127"^"241300700"^"4890811"^"112950847"^"438266663"^"0"^"country=sg&domain=singnet.com.sg&zipcodes=148943"
"1554736151000"^"2019-04-08"^"tieqskzxa"^"JVQ7knm7"^"118.200.27.103"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8805309"^"22378127"^"241300700"^"4890811"^"112950847"^"438266663"^"0"^"country=sg&domain=singnet.com.sg&zipcodes=148943"
"1554681743000"^"2019-04-08"^"tieqhbj09"^"JYoRllQn"^"14.1.193.140"^"Chrome 58-57"^"Computer"^"Windows 8.1"^"PMISC_AMP"^"8941688"^"22342375"^"240799545"^"4890811"^"112480681"^"437580388"^"0"^"country=my&zipcodes=96000"
"1554686072000"^"2019-04-08"^"tieqarpfa"^"JnrlEvgc"^"202.90.246.148"^"Internet Explorer 11-11"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22335041"^"240480344"^"4890811"^"112519106"^"437517743"^"0"^"country=au&region=wa&dma=36509&domain=aussiebb.net&zipcodes=6401"
"1554687946000"^"2019-04-08"^"tieqarpfa"^"JsvTzwy0"^"58.162.151.254"^"Chrome 58-60"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22335041"^"240480344"^"4890811"^"112519106"^"437517743"^"0"^"country=au&region=act&dma=36801&domain=evocca.com.au&zipcodes=2601"
"1554699376000"^"2019-04-08"^"tieqarpfa"^"K3AvVHYI"^"14.202.33.187"^"Chrome 58-73"^"Computer"^"Windows 10"^"PMISC_AMP"^"8811883"^"22335041"^"240480344"^"4890811"^"112519106"^"437517743"^"0"^"country=au&region=qld&dma=36311&domain=tpgi.com.au&zipcodes=4129"
"1554682174000"^"2019-04-08"^"tieqarpfa"^"K3vrlY0V"^"124.19.84.25"^"Chrome 58-73"^"Computer"^"Windows 7"^"PMISC_AMP"^"8811883"^"22515664"^"243463612"^"4890811"^"114165272"^"440152118"^"0"^"country=au&region=nsw&dma=36121&domain=optus.com.au&zipcodes=2076"
